Twitter Handle & User Name,Tweet, external URL,Hashtags,Date of Tweet,Followers,Following,RT,FAV
"Lowetide , Lowetide",b'Koskinen have a nickname? Chuckie the early favourite at my house.',no external urls in this tweet,no hashtags in this tweet,Tue Sep 18 01:21:57 +0000 2018,24945,12864,0,24
"Lowetide , Lowetide","b'@realallinhockey @OHLSteelheads @Zac_Urback @307x Congrats, Scott!'",no external urls in this tweet,no hashtags in this tweet,Tue Sep 18 00:44:52 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide","b'RT @BlackLCult: Every ""coffee"" in Twin Peaks. https://t.co/AjC7mqH8oZ'",no external urls in this tweet,no hashtags in this tweet,Tue Sep 18 00:37:32 +0000 2018,24945,12864,1046,0
"Lowetide , Lowetide","b""@jpetovello Give 'em hell!""",no external urls in this tweet,no hashtags in this tweet,Tue Sep 18 00:34:44 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide",b'RT @Crazzyintheusa: I for one welcome our new bird overloads. https://t.co/TeNCP6GzhV',https://twitter.com/JohnBick4/status/1040735365211058178/video/1,no hashtags in this tweet,Tue Sep 18 00:11:08 +0000 2018,24945,12864,1760,0
"Lowetide , Lowetide",b'Oye Como Va\\nhttps://t.co/f9Z3DlBteK',https://twitter.com/JackMcCaffery/status/1041833591678922752,no hashtags in this tweet,Mon Sep 17 23:41:52 +0000 2018,24945,12864,0,12
"Lowetide , Lowetide","b'RT @TheAthleticEDM: New from @Lowetide: It took longer than expected, but in the end the Oilers and Darnell Nurse were able to get a contra\\u2026'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 23:23:06 +0000 2018,24945,12864,3,0
"Lowetide , Lowetide","b""@IRaiseUFacts Not tonight, it'll be on the team website streaming. Tomorrow night's game is on television per @SportsnetSpec""",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 23:00:41 +0000 2018,24945,12864,0,1
"Lowetide , Lowetide","b""@lynnmercereau Okay. Don't tell anyone, I'll be right there.""",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 22:20:05 +0000 2018,24945,12864,0,4
"Lowetide , Lowetide","b'RT @MurphysLaw74: Hearing but not confirmed with team yet,  #NHLBruins will announce their new alternate jerseys very soon and if you grew\\u2026'",no external urls in this tweet,['NHLBruins'],Mon Sep 17 22:13:52 +0000 2018,24945,12864,22,0
"Lowetide , Lowetide",b'RT @CrazyinRussia: Russian roads.  https://t.co/EzyNcSsNJ0',https://twitter.com/Crashingtv/status/1041718616994013184/video/1,no hashtags in this tweet,Mon Sep 17 21:29:27 +0000 2018,24945,12864,157,0
"Lowetide , Lowetide",b'For @TheAthleticEDM Oilers sign Nurse to a two-year deal https://t.co/jUlB7WMaZi #Oilers',https://theathletic.com/530208/2018/09/17/lowetide-oilers-get-darnell-nurse-signed-to-a-two-year-deal/,['Oilers'],Mon Sep 17 21:13:57 +0000 2018,24945,12864,1,2
"Lowetide , Lowetide","b'@13Mike31 (shakes fist, yells at sky, falls in snow bank)'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 20:24:16 +0000 2018,24945,12864,0,3
"Lowetide , Lowetide","b'RT @TomDorsa: I\\u2019ll do this for the prospect profiles I wrote (DAL, CGY, EDM, ANA, LAK, SJS, COL, STL, NYI, ARI), because I\\u2019m bored and the\\u2026'",no external urls in this tweet,no hashtags in this tweet,Mon Sep 17 19:53:38 +0000 2018,24945,12864,7,0
