Twitter Handle & User Name,Tweet, external URL,Hashtags,Filter Words,Date of Tweet,Followers,Following,RT,FAV
"OilersNation , OilersNation.com","b'Fresh Oil: Oilers 4, Capitals 1 post-game Oil Spills: The importance of special teams https://t.co/aIoYQKEwG0'",https://oilersnation.com/2018/10/26/oilers-4-capitals-1-post-game-oil-spills-the-importance-of-special-teams/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,"['oiler', 'game', 'win']",Fri Oct 26 19:13:06 +0000 2018,47379,1398,1,4
"OilersNation , OilersNation.com",b'RT @ONradiopodcast: About to record episode 9 of @OilersNation Radio - anyone have any questions for us? #oilers #yeg https://t.co/ZQ6B2d36\\u2026',no external urls in this tweet,"['oilers', 'yeg']","['oiler', 'game', 'win']",Fri Oct 26 17:11:39 +0000 2018,47379,1398,1,0
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: GDB 8.0 Wrap Up: Solid all around effort leads the Oilers to a 4-1 win https://t.co/E63qHMKByN #Oilers #NHL https://t.c\\u2026',https://oilersnation.com/2018/10/25/post-game-8-0-wrap-up-edmonton-oilers-vs-washington-capitals/?utm_source=dlvr.it&utm_medium=twitter,"['Oilers', 'NHL']","['oiler', 'game', 'win']",Fri Oct 26 13:59:06 +0000 2018,47379,1398,2,0
"OilersNation , OilersNation.com","b'RT @Robin_Brownlee: Alex Chiasson looking like a find for the Oilers. Three goals in the last two games with solid, workmanlike performance\\u2026'",no external urls in this tweet,no hashtags in this tweet,"['oiler', 'game', 'win']",Fri Oct 26 04:51:42 +0000 2018,47379,1398,14,0
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: Oilers with a yuuuuuge win and so we must drink in their honour. Here\\u2019s a #BoozeCast (working title) https://t.co/X0g39\\u2026',no external urls in this tweet,['BoozeCast'],"['oiler', 'game', 'win']",Fri Oct 26 04:01:40 +0000 2018,47379,1398,2,0
"OilersNation , OilersNation.com",b'Fresh Oil: GDB 8.0 Wrap Up: Solid all around effort leads the Oilers to a 4-1 win https://t.co/eyhv0k0eGS',https://oilersnation.com/2018/10/25/post-game-8-0-wrap-up-edmonton-oilers-vs-washington-capitals/?utm_source=dlvr.it&utm_medium=twitter,no hashtags in this tweet,"['oiler', 'game', 'win']",Fri Oct 26 03:58:04 +0000 2018,47379,1398,0,5
"OilersNation , OilersNation.com",b'Huge 4-1 win by the #Oilers as they slide back into the win column like... https://t.co/zSX7V18CQE',no external urls in this tweet,['Oilers'],"['oiler', 'game', 'win']",Fri Oct 26 03:37:13 +0000 2018,47379,1398,82,385
"OilersNation , OilersNation.com","b'Alex ""The Answer"" Chiasson adds some insurance to the lead! #oilers https://t.co/B9nWdnwofe'",no external urls in this tweet,['oilers'],"['oiler', 'game', 'win']",Fri Oct 26 03:17:47 +0000 2018,47379,1398,5,67
"OilersNation , OilersNation.com",b'Talbot with the snag to keep it a one-goal game! #oilers https://t.co/flx1i3BBn5',no external urls in this tweet,['oilers'],"['oiler', 'game', 'win']",Fri Oct 26 02:28:44 +0000 2018,47379,1398,1,28
"OilersNation , OilersNation.com","b""Bouchard's first NHL goal! #oilers https://t.co/FD9TsQlWm4""",no external urls in this tweet,['oilers'],"['oiler', 'game', 'win']",Fri Oct 26 01:45:09 +0000 2018,47379,1398,8,88
"OilersNation , OilersNation.com",b'ICYMI: The Oilers take on the Capitals tonight at 7pm and @JasonGregor  has your game day preview: https://t.co/ksyFJWlmvP #Oilers #NHL',https://oilersnation.com/2018/10/25/game-preview-8-0-edmonton-oilers-vs-washington-capitals,"['Oilers', 'NHL']","['oiler', 'game', 'win']",Fri Oct 26 00:30:14 +0000 2018,47379,1398,0,1
"OilersNation , OilersNation.com",b'RT @jsbmbaggedmilk: It\\u2019s a Thursday edition of #FranksPicks and my man has been studying all day. Who will win between the Oilers and Capit\\u2026',no external urls in this tweet,['FranksPicks'],"['oiler', 'game', 'win']",Fri Oct 26 00:12:30 +0000 2018,47379,1398,7,0
